TimeStamp;2025-07-07 12-02-34;2025-07-07 12-02-52;2025-07-07 12-03-11;2025-07-07 12-03-29;2025-07-07 12-03-47;2025-07-07 12-04-05;2025-07-07 12-04-24;2025-07-07 12-04-42;2025-07-07 12-05-00;2025-07-07 12-05-18;2025-07-07 12-05-37;2025-07-07 12-05-55;2025-07-07 12-06-13;2025-07-07 12-06-31;2025-07-07 12-06-49;2025-07-07 12-07-07;2025-07-07 12-07-26;2025-07-07 12-07-44;2025-07-07 12-08-02;2025-07-07 12-08-21;2025-07-07 12-08-39;2025-07-07 12-08-57;2025-07-07 12-09-15;2025-07-07 12-09-33;2025-07-07 12-09-52;2025-07-07 12-10-10;2025-07-07 12-10-29;2025-07-07 12-10-47;2025-07-07 12-11-05;2025-07-07 12-11-23;2025-07-07 12-11-41;2025-07-07 12-11-59;2025-07-07 12-12-18;2025-07-07 12-12-36;2025-07-07 12-12-54;2025-07-07 12-13-12;2025-07-07 12-13-31;2025-07-07 12-13-49;2025-07-07 12-14-07;2025-07-07 12-18-05;2025-07-07 12-18-23;2025-07-07 12-18-41;2025-07-07 12-19-00;2025-07-07 12-19-18;2025-07-07 12-19-37;2025-07-07 12-19-55;2025-07-07 12-20-13;2025-07-07 12-20-31;2025-07-07 12-20-49;2025-07-07 12-21-07;2025-07-07 12-21-26;2025-07-07 12-21-44
0.110;1.829500;1.818700;1.887100;1.837000;1.830300;1.827000;1.863700;1.860400;1.893300;1.826200;1.834500;1.847000;1.847400;1.842000;1.855000;1.852400;1.847400;1.846200;1.860800;1.839100;1.843700;1.837000;1.846200;1.851600;1.828700;1.857900;1.861600;1.837000;1.835300;1.826200;1.842000;1.859500;1.874100;1.829500;1.882500;1.834900;1.814100;1.857400;1.828700;1.842900;1.885800;1.882100;1.894200;1.845400;1.847800;1.819100;1.876200;1.862900;1.840800;1.859100;1.848700;1.831600
0.120;1.829500;1.818700;1.887100;1.895800;1.829900;1.822000;1.842400;1.839500;1.856200;1.826200;1.857500;1.809500;1.816200;1.881200;1.825300;1.845300;1.891600;1.883300;1.874100;1.885800;1.839100;1.856600;1.822000;1.896200;1.828700;1.860800;1.847900;1.887000;1.835300;1.892900;1.907100;1.858300;1.874100;1.852800;1.882500;1.859100;1.877500;1.829500;1.889200;1.847900;1.896200;1.888700;1.894200;1.880800;1.897500;1.859100;1.876200;1.863700;1.835300;1.851600;1.901700;1.859900
0.130;1.882900;1.883300;1.831600;1.895800;1.872900;1.879500;1.861200;1.903800;1.856200;1.869900;1.857500;1.809500;1.888700;1.881200;1.898300;1.856200;1.852400;1.868300;1.828300;1.885800;1.896200;1.888700;1.871600;1.868300;1.863300;1.860800;1.845400;1.867900;1.863300;1.871600;1.862000;1.899100;1.896700;1.891200;1.861200;1.880400;1.867400;1.829500;1.851600;1.847900;1.824900;1.876200;1.867000;1.882500;1.890000;1.869500;1.851200;1.863700;1.866600;1.844100;1.901700;1.859900
0.140;1.856600;1.864500;1.831600;1.848700;1.872900;1.862000;1.894200;1.892900;1.829500;1.873700;1.824100;1.876200;1.866200;1.844100;1.877500;1.874500;1.852400;1.838700;1.828300;1.856200;1.863300;1.839100;1.871600;1.849500;1.863300;1.875800;1.891600;1.812000;1.863300;1.871600;1.862000;1.899100;1.859900;1.845400;1.861200;1.867500;1.867400;1.848300;1.851600;1.887900;1.824900;1.837400;1.830300;1.882500;1.837400;1.888700;1.851200;1.849100;1.862900;1.888300;1.859100;1.896200
0.150;1.808200;1.829500;1.800300;1.827000;1.829100;1.828200;1.857000;1.892900;1.806200;1.825300;1.806600;1.857500;1.833700;1.823700;1.877500;1.852900;1.796600;1.800300;1.807400;1.826200;1.841200;1.804100;1.821600;1.849500;1.832000;1.875800;1.847400;1.808200;1.836200;1.830300;1.837400;1.834100;1.812000;1.845400;1.794500;1.821200;1.826200;1.848300;1.845400;1.880400;1.827400;1.837400;1.807400;1.839100;1.828200;1.848300;1.845400;1.849100;1.828700;1.859900;1.859500;1.838300
0.160;1.797400;1.829500;1.789500;1.797000;1.829100;1.828200;1.828700;1.826600;1.778200;1.825700;1.779500;1.820300;1.833700;1.799900;1.834500;1.852900;1.796600;1.800300;1.787000;1.798600;1.841200;1.789900;1.821600;1.809900;1.811100;1.822400;1.817000;1.808200;1.789900;1.822000;1.807800;1.834100;1.810700;1.775300;1.794500;1.798600;1.821600;1.828300;1.804900;1.813700;1.784500;1.815700;1.785300;1.818200;1.800700;1.848300;1.797800;1.841600;1.817800;1.812800;1.816200;1.829100
0.170;1.783600;1.783600;1.817800;1.774900;1.804900;1.800700;1.828700;1.826600;1.815300;1.795700;1.779500;1.812400;1.817800;1.799900;1.834500;1.809100;1.785300;1.797800;1.787800;1.798600;1.806600;1.789900;1.812000;1.796100;1.793600;1.822000;1.817000;1.792000;1.771100;1.782000;1.791100;1.817000;1.782800;1.775300;1.799900;1.798600;1.777300;1.811600;1.784900;1.822000;1.792800;1.815700;1.807400;1.797400;1.800700;1.809900;1.820300;1.814900;1.817800;1.812800;1.816200;1.795700
0.180;1.783600;1.783600;1.817800;1.799000;1.799900;1.792000;1.792400;1.790700;1.827400;1.795700;1.815300;1.777400;1.770700;1.837800;1.804100;1.799900;1.797400;1.806100;1.819100;1.801100;1.782400;1.764800;1.771100;1.808600;1.793600;1.803200;1.776500;1.805700;1.771100;1.816600;1.816600;1.818600;1.782800;1.797000;1.812000;1.803700;1.808700;1.779000;1.823700;1.793200;1.838300;1.826200;1.807400;1.808600;1.840800;1.798600;1.820300;1.803200;1.789000;1.804100;1.830700;1.799100
0.190;1.808600;1.799900;1.818700;1.799000;1.800300;1.790700;1.792400;1.804500;1.827400;1.805700;1.815300;1.777400;1.798600;1.837800;1.820700;1.796600;1.814500;1.844100;1.800300;1.801100;1.802800;1.814500;1.790300;1.824900;1.827000;1.803200;1.772400;1.840800;1.824500;1.828300;1.827400;1.829100;1.824900;1.814100;1.838700;1.811100;1.812400;1.779000;1.819500;1.793200;1.786100;1.848300;1.822000;1.828200;1.840800;1.781900;1.817800;1.803200;1.801100;1.804100;1.830700;1.799100
0.200;1.821200;1.820800;1.818700;1.807800;1.800300;1.813200;1.808200;1.842000;1.822000;1.839500;1.804000;1.807800;1.806600;1.823700;1.834100;1.809500;1.814500;1.814500;1.800300;1.824100;1.819900;1.795300;1.790300;1.825700;1.827000;1.827800;1.807400;1.796500;1.824500;1.828300;1.827400;1.829100;1.829900;1.813200;1.838700;1.842900;1.812400;1.827000;1.821200;1.806600;1.786100;1.807400;1.802400;1.828200;1.825300;1.827800;1.817800;1.846200;1.812400;1.821200;1.804900;1.842000
0.210;1.809500;1.792800;1.816600;1.804100;1.818200;1.804900;1.827400;1.842000;1.813700;1.797400;1.815700;1.811600;1.801100;1.820300;1.834100;1.837900;1.796100;1.817400;1.804500;1.825800;1.822400;1.794100;1.803600;1.825700;1.831600;1.827800;1.817400;1.819100;1.809900;1.814500;1.825300;1.827000;1.795300;1.813200;1.824900;1.798200;1.794900;1.827000;1.821200;1.842000;1.805300;1.807400;1.805300;1.824100;1.835800;1.804900;1.829500;1.834500;1.812000;1.836200;1.839900;1.806200
0.220;1.814100;1.792800;1.808200;1.805300;1.818200;1.804900;1.812800;1.819500;1.809900;1.808600;1.800700;1.811200;1.801100;1.808200;1.824900;1.837900;1.796100;1.817400;1.795700;1.814100;1.822400;1.809100;1.803600;1.809500;1.818700;1.811600;1.810700;1.819100;1.799900;1.802800;1.800700;1.827000;1.842000;1.806600;1.824900;1.798200;1.807800;1.805700;1.796600;1.781500;1.800700;1.820300;1.793200;1.815700;1.819500;1.804900;1.803600;1.839900;1.817800;1.802000;1.811100;1.809900
0.230;1.795700;1.805300;1.801600;1.800300;1.808600;1.800700;1.812800;1.819500;1.792800;1.794000;1.800700;1.807000;1.818200;1.808200;1.824900;1.804900;1.805300;1.824900;1.790700;1.814100;1.797000;1.809100;1.818700;1.823200;1.816100;1.836600;1.810700;1.799500;1.811600;1.794900;1.829500;1.831600;1.797800;1.806600;1.824100;1.825300;1.782800;1.818700;1.803200;1.820700;1.782400;1.820300;1.790700;1.815300;1.819500;1.793200;1.823300;1.839900;1.817800;1.802000;1.811100;1.807400
0.240;1.795700;1.805300;1.801600;1.790300;1.812800;1.798600;1.809100;1.818300;1.811600;1.794000;1.802400;1.789100;1.794100;1.802800;1.814900;1.818700;1.781500;1.800700;1.791100;1.803300;1.812400;1.780300;1.798600;1.811100;1.808200;1.812400;1.807000;1.790300;1.811600;1.807400;1.807800;1.834500;1.797800;1.813700;1.817900;1.808200;1.782800;1.807000;1.794000;1.792400;1.827000;1.813200;1.790700;1.797000;1.816600;1.822000;1.823300;1.812800;1.806600;1.805300;1.822400;1.797800
0.250;1.794900;1.812000;1.806600;1.790300;1.785700;1.779400;1.809100;1.812400;1.811600;1.784000;1.802400;1.789100;1.802800;1.802800;1.820300;1.799900;1.799500;1.825300;1.804900;1.803300;1.798200;1.811200;1.796500;1.831200;1.819100;1.812400;1.809500;1.817400;1.812000;1.820300;1.815300;1.829500;1.824900;1.794100;1.839900;1.789900;1.798200;1.807000;1.792400;1.792400;1.788200;1.830800;1.807000;1.827400;1.830800;1.781500;1.822800;1.812800;1.807400;1.805300;1.822400;1.797800
0.260;1.811600;1.823200;1.806600;1.801600;1.785700;1.807400;1.798600;1.819900;1.798200;1.806600;1.802000;1.795700;1.802800;1.812800;1.828700;1.794500;1.799500;1.819900;1.804900;1.805700;1.818600;1.811200;1.796500;1.822000;1.819100;1.827000;1.797000;1.817400;1.812000;1.820300;1.815300;1.829500;1.818300;1.811200;1.839900;1.830800;1.798200;1.811200;1.792400;1.788200;1.788200;1.804900;1.814500;1.827400;1.815300;1.829500;1.822800;1.822000;1.813200;1.819500;1.808600;1.830800
0.270;1.787000;1.805700;1.888300;1.790300;1.818600;1.794100;1.820800;1.819900;1.868700;1.786100;1.836100;1.803700;1.792800;1.805300;1.828700;1.824500;1.867900;1.865000;1.793200;1.812400;1.809000;1.803600;1.799000;1.822000;1.821600;1.827000;1.810700;1.916300;1.804500;1.813700;1.811600;1.823200;1.795700;1.811200;1.798600;1.794900;1.782800;1.811200;1.818200;1.825300;1.848300;1.804900;1.838300;1.802800;1.877900;1.804500;1.813700;1.822000;1.802400;1.842000;1.826200;1.808700
0.280;1.928800;1.805700;2.149900;1.866600;1.803200;1.794100;1.790300;1.823600;2.138200;1.819100;2.134400;1.797800;1.792800;2.091000;1.839500;1.824500;1.867900;1.865000;2.073100;1.838200;1.809000;2.089400;1.799000;1.889600;1.830300;1.801100;1.798600;1.916300;1.821600;1.842000;1.877900;1.823200;2.095600;1.987600;2.064300;1.794900;1.824900;1.934600;;1.780300;2.135200;2.076800;2.144000;1.836200;2.149000;1.804500;2.070200;1.817000;1.829500;1.803600;1.818200;1.826200
0.290;2.087700;2.134400;1.953800;2.126100;1.827800;1.827800;1.790300;1.823600;1.938000;2.131100;2.134400;1.829900;1.819100;2.091000;1.839500;1.799000;2.128200;2.163200;2.006800;1.838200;1.816600;2.089400;1.829500;2.145300;2.154900;2.019300;1.798600;2.119800;2.137300;2.130200;2.143600;2.014300;1.989300;1.987600;2.038500;2.018000;2.115200;1.934600;;1.971700;1.940900;2.076800;1.960900;2.150300;2.149000;1.827800;2.037200;2.013400;1.829500;1.803600;1.818200;2.108600
0.300;2.087700;2.134400;1.953800;1.935000;2.145700;2.145300;2.058900;2.139000;1.941700;2.131100;1.951700;2.134900;2.123200;1.982600;2.159900;2.020500;1.933800;1.965500;1.961700;1.971700;2.138200;2.002600;2.124400;1.946300;2.154900;2.063900;1.986300;1.953400;2.137300;1.958000;1.952500;2.079800;1.978400;2.072300;1.956300;2.063500;2.115200;2.104800;;2.068100;1.957600;1.973000;1.960900;1.957100;1.968400;2.155700;2.037200;2.065200;2.141900;2.068500;1.960500;1.975900
0.310;1.959200;1.950900;1.917500;1.927500;1.943400;1.942100;2.058900;1.965500;1.941700;1.941300;1.951700;2.134900;1.949200;1.982600;1.982100;2.073900;1.939200;1.978000;1.886600;1.971700;1.940000;1.986300;1.938800;1.954600;1.976300;2.063900;2.057700;1.937500;1.955900;1.946700;1.951700;1.976300;1.978400;1.955900;1.918700;1.949200;1.942500;1.965900;;2.068100;1.865800;1.943800;1.959200;1.967100;1.986800;1.933400;1.902100;2.065200;1.975500;2.068500;1.960500;1.965100
0.320;1.927900;1.946300;1.917500;1.927500;1.943400;1.958000;1.955100;1.952500;1.917900;1.952100;1.914200;1.961700;1.933800;1.906700;1.970900;1.983800;1.907500;1.936300;1.886600;1.971300;1.948400;1.897100;1.938800;1.922100;1.976300;1.924200;1.952500;1.937500;1.955900;1.887400;1.951700;1.976300;1.894600;1.918800;1.918700;1.922500;1.942500;1.909600;;1.940900;1.865800;1.923400;1.902500;1.967100;1.916700;1.968400;1.902100;1.974700;1.974200;1.987200;1.949200;1.965100
0.330;1.916200;1.896600;1.886200;1.911700;1.881200;1.892500;1.915800;1.952500;1.879900;1.885000;1.890000;1.947100;1.886200;1.911300;1.923700;1.926300;1.877900;1.907500;1.898700;1.934200;1.892900;1.920800;1.882500;1.922100;1.932500;1.924200;1.912900;1.882000;1.892500;1.887400;1.881600;1.925000;1.911200;1.918800;1.912100;1.893700;1.882100;1.909600;;1.912900;1.894100;1.923400;1.885800;1.893300;1.928800;1.968400;1.915400;1.913300;1.912900;1.940000;1.910800;1.864100
0.340;1.886600;1.896600;1.903700;1.872900;1.881200;1.880800;1.910400;1.900000;1.897100;1.884500;1.898700;1.892100;1.886200;1.888300;1.900400;1.922100;1.877900;1.907500;1.868700;1.911200;1.892900;1.898300;1.882500;1.889100;1.916700;1.925900;1.921300;1.882000;1.891700;1.888300;1.881600;1.925000;1.898300;1.879100;1.897900;1.886600;1.888300;1.917900;;1.877900;1.865800;1.921700;1.892000;1.898700;1.912500;1.879100;1.868300;1.937100;1.917500;1.934200;1.897900;1.903300
0.350;1.892100;1.892500;1.899200;1.890800;1.880000;1.880800;1.910400;1.900000;1.888300;1.869100;1.898700;1.879500;1.880000;1.888300;1.900400;1.922100;1.892500;1.922500;1.882000;1.911200;1.884100;1.898300;1.894100;1.920800;1.922500;1.904600;1.921300;1.885000;1.895400;1.880400;1.912100;1.904600;1.898300;1.879100;1.905000;1.886600;1.863300;1.867900;;1.865400;1.885800;1.921700;1.887500;1.876600;1.912500;1.895800;1.907100;1.937100;1.917500;1.934200;1.897900;1.854100
0.360;1.892100;1.892500;1.916700;1.882900;1.880000;1.882500;1.899600;1.900000;1.907500;1.869100;1.912100;1.874500;1.884500;1.904600;1.909200;1.895800;1.881600;1.916300;1.885400;1.918800;1.893700;1.907100;1.880400;1.905800;1.920400;1.916300;1.882500;1.893300;1.895400;1.890400;1.901300;1.917900;1.909600;1.917100;1.907500;1.892100;1.863300;1.908700;;1.863300;1.901200;1.920400;1.887500;1.890000;1.925000;1.890000;1.907100;1.915800;1.894500;1.921700;1.905800;1.897900
0.370;1.896600;1.892100;1.935000;1.897100;1.877400;1.877000;1.899600;1.902500;1.907500;1.878700;1.912100;1.874500;1.879100;1.904600;1.903700;1.901200;1.899200;1.937500;1.906700;1.918800;1.881200;1.918300;1.888700;1.927900;1.936700;1.916300;1.909600;1.909200;1.900400;1.895800;1.915800;1.916700;1.909600;1.900400;1.929200;1.897900;1.888700;1.896700;;1.876600;1.905000;1.944200;1.908300;1.900800;1.937500;1.886600;1.920400;1.915800;1.910800;1.921700;1.905800;1.894200
0.380;1.908300;1.905800;1.935000;1.897100;1.877400;1.899600;1.902900;1.912500;1.920000;1.887000;1.931700;1.880000;1.895400;1.922100;1.923800;1.908300;1.899200;1.947100;1.906700;1.935000;1.897900;1.932100;1.888700;1.942900;1.936700;1.921700;1.905000;1.909200;1.900400;1.917900;1.915800;1.916700;1.919200;1.924600;1.929200;1.917500;1.888700;1.909600;;1.876600;1.905000;1.955900;1.922900;1.900800;1.954200;1.915000;1.920400;1.905800;1.920400;1.926300;1.915800;1.894200
0.390;1.929600;1.924600;1.954600;1.914200;1.895400;1.910000;1.917900;1.912500;1.940000;1.900800;1.947600;1.893700;1.912100;1.939600;1.938800;1.924600;1.932100;1.967100;1.941300;1.951300;1.912900;1.950000;1.913300;1.942900;1.952600;1.935400;1.919200;1.945100;1.917100;1.917900;1.952600;1.949200;1.940000;1.924600;1.941700;1.930900;1.912500;1.909600;;1.891600;1.934600;1.955900;1.940000;1.935000;1.976800;1.915000;1.937100;1.921700;1.937900;1.942100;1.935400;1.904600
0.400;1.948400;1.924600;1.975500;1.932500;1.908300;1.930000;1.935000;1.950500;1.962200;1.920800;1.968000;1.911600;1.912100;1.960100;1.953800;1.940000;1.932100;1.987200;1.941300;1.968400;1.929200;1.968800;1.913300;1.957600;1.967600;1.951300;1.935900;1.945100;1.934200;1.933800;1.952600;1.949200;1.958400;1.957500;1.961300;1.930900;1.931300;1.950500;;1.905400;1.950900;2.001800;1.963000;1.935000;1.994700;1.919600;1.954200;1.940900;1.954200;1.962200;1.953000;1.931300
0.410;1.968000;1.958800;1.993000;1.954200;1.929200;1.930000;1.935000;1.950500;1.980100;1.940400;1.968000;1.928800;1.928300;1.960100;1.953800;1.940000;1.951700;1.987200;1.961300;1.968400;1.929200;1.968800;1.928400;1.976300;1.991300;1.969200;1.935900;1.959200;1.950900;1.950000;1.972600;1.968400;1.975100;1.957500;1.978400;1.953800;1.947100;1.950500;;1.929200;1.970500;2.001800;1.981700;1.955000;1.994700;1.940400;1.975100;1.956700;1.954200;1.962200;1.953000;1.946700
0.420;1.968000;1.958800;2.008800;1.954200;1.929200;1.950000;1.973400;1.969600;1.998400;1.940400;2.003900;1.948800;1.950000;1.998400;1.973400;1.963000;1.969600;2.006000;1.978000;2.008000;1.947500;1.986800;1.947500;1.995100;2.010500;1.987600;1.953000;1.980900;1.950900;1.967100;1.988400;1.984200;1.993000;1.978000;1.994300;1.972600;1.947100;1.968800;;1.946300;1.987200;2.016800;1.981700;1.975100;2.014700;1.960000;1.975100;1.981300;1.977200;2.003000;1.993800;1.967100
0.430;1.986800;1.977100;2.022600;1.990500;1.966300;1.968400;1.973400;1.989700;1.998400;1.979200;2.003900;1.948800;1.968400;1.998400;1.993800;1.981300;1.987600;2.023900;1.995500;2.008000;1.966300;2.005100;1.967600;2.012600;2.027200;1.987600;1.971300;1.998400;1.985900;1.984700;2.006400;2.001300;1.993000;1.990500;2.010100;1.986800;1.986300;1.985900;;1.964200;2.003400;2.034700;1.998000;1.991800;2.032200;1.978800;2.008000;1.981300;1.998800;2.003000;1.993800;1.983400
0.440;2.002600;1.992600;2.022600;1.990500;1.966300;1.987200;1.992200;2.004700;2.013900;1.979200;2.021400;1.969200;1.987600;2.016800;2.010500;1.999700;1.987600;2.038900;1.995500;2.027200;1.984700;2.021800;1.967600;2.028500;2.027200;2.007200;1.988800;1.998400;1.985900;2.002600;2.006400;2.001300;2.009300;2.010100;2.010100;2.001300;1.986300;2.002200;;1.964200;2.003400;2.048100;2.014300;1.991800;2.048500;1.996800;2.008000;1.996300;2.014300;2.020500;2.010100;1.983400
0.450;2.017200;2.005900;2.035600;2.007200;1.985100;2.004300;2.010500;2.004700;2.027600;1.996300;2.036000;1.988000;2.002200;2.032200;2.026800;2.016400;2.018000;2.052200;2.024300;2.043900;2.000500;2.037700;2.001800;2.028500;2.045200;2.023100;2.009700;2.028500;2.002600;2.002600;2.036000;2.034300;2.023900;2.010100;2.039300;2.016800;2.003400;2.002200;;1.983400;2.018900;2.048100;2.029700;2.007200;2.062300;1.996800;2.024300;2.011800;2.031000;2.037200;2.028000;1.999700
0.460;2.031400;2.005900;2.047700;2.021400;2.001300;2.018900;2.026800;2.037200;2.039700;2.010900;2.048900;2.003400;2.002200;2.045600;2.040100;2.031000;2.018000;2.065200;2.024300;2.058500;2.015900;2.049800;2.001800;2.043100;2.058100;2.039300;2.025900;2.028500;2.018500;2.016400;2.036000;2.034300;2.038500;2.039300;2.039300;2.030500;2.017200;2.031000;;1.998400;2.030500;2.072700;2.042600;2.022200;2.072700;2.011400;2.036400;2.031000;2.045200;2.052200;2.042200;2.015100
0.470;2.044700;2.034300;2.058900;2.035600;2.016800;2.018900;2.026800;2.037200;2.051800;2.024700;2.048900;2.018000;2.017200;2.045600;2.040100;2.031000;2.031800;2.065200;2.036800;2.058500;2.015900;2.049800;2.016800;2.055600;2.069700;2.053900;2.025900;2.040100;2.031400;2.029300;2.049300;2.048100;2.048900;2.039300;2.051000;2.030500;2.030100;2.031000;;2.013000;2.041000;2.072700;2.051800;2.035100;2.072700;2.026400;2.048100;2.041400;2.045200;2.052200;2.042200;2.026800
0.480;2.044700;2.034300;2.125700;2.035600;2.016800;2.030500;2.052200;2.050600;;2.024700;;2.030500;2.031800;2.066800;2.053100;2.045200;2.042200;2.075200;2.047600;2.081000;2.029300;;2.029300;2.065600;;2.065600;2.037600;;2.031400;2.043500;2.060600;2.058900;2.060600;2.052200;2.060600;2.042200;2.030100;2.043500;;2.025100;;;;;;2.038100;2.048100;2.053900;2.057600;2.076400;2.065600;2.040100
